NameOfMedicine;InternationalName;ActiveSubstance;Therapeutic;URL
Keytruda;pembrolizumab;Pembrolizumab;"Melanoma Keytruda as monotherapy is indicated for the treatment of adults and adolescents aged 12 years and older with advanced (unresectable or metastatic) melanoma. Keytruda&nbsp;as monotherapy is indicated for the adjuvant treatment of adults and adolescents aged 12 years and older with Stage IIB, IIC, or with Stage III melanoma and lymph node involvement who have undergone complete resection. Non small cell lung carcinoma (NSCLC) Keytruda, in combination with platinum-containing chemotherapy as neoadjuvant treatment, and then continued as monotherapy as adjuvant treatment, is indicated for the treatment of resectable non small cell lung carcinoma at high risk of recurrence in adults Keytruda as monotherapy is indicated for the adjuvant treatment of adults with non-small cell lung carcinoma who are at high risk of recurrence following complete resection and platinum based chemotherapy (for selection criteria, see section 5.1). Keytruda&nbsp;as monotherapy is indicated for the first line treatment of metastatic non small cell lung carcinoma in adults whose tumours express PD L1 with a ≥ 50% tumour proportion score (TPS) with no EGFR or ALK positive tumour mutations. Keytruda, in combination with pemetrexed and platinum chemotherapy, is indicated for the first-line treatment of metastatic non squamous non small cell lung carcinoma in adults whose tumours have no EGFR or ALK positive mutations. Keytruda, in combination with carboplatin and either paclitaxel or nab paclitaxel, is indicated for the first line treatment of metastatic squamous non small cell lung carcinoma in adults. Keytruda&nbsp; as monotherapy is indicated for the treatment of locally advanced or metastatic non small cell lung carcinoma in adults whose tumours express PD L1 with a&nbsp;≥ 1% TPS and who have received at least one prior chemotherapy regimen. Patients with EGFR or ALK positive tumour mutations should also have received targeted therapy before receiving KEYTRUDA. Classical Hodgkin lymphoma (cHL) Keytruda&nbsp;as monotherapy is indicated for the treatment of adult and paediatric patients aged 3 years and older with relapsed or refractory classical Hodgkin lymphoma who have failed autologous stem cell transplant (ASCT) or following at least two prior therapies when ASCT is not a treatment option. Urothelial carcinoma Keytruda, in combination with enfortumab vedotin, is indicated for the first-line treatment of unresectable or metastatic urothelial carcinoma in adults. Keytruda&nbsp;as monotherapy is indicated for the treatment of locally advanced or metastatic urothelial carcinoma in adults who have received prior platinum containing chemotherapy. Keytruda&nbsp;as monotherapy is indicated for the treatment of locally advanced or metastatic urothelial carcinoma in adults who are not eligible for cisplatin containing chemotherapy and whose tumours express PD L1 with a combined positive score (CPS) ≥ 10. Head and neck squamous cell carcinoma (HNSCC) Keytruda, as monotherapy or in combination with platinum and 5 fluorouracil (5 FU) chemotherapy, is indicated for the first line treatment of metastatic or unresectable recurrent head and neck squamous cell carcinoma in adults whose tumours express PD L1 with a CPS ≥&nbsp;1. Keytruda&nbsp;as monotherapy is indicated for the treatment of recurrent or metastatic head and neck squamous cell carcinoma in adults whose tumours express PD L1 with a ? 50% TPS and progressing on or after platinum containing chemotherapy. Renal cell carcinoma (RCC) Keytruda, in combination with axitinib, is indicated for the first line treatment of advanced renal cell carcinoma in adults. Keytruda&nbsp; as monotherapy is indicated for the adjuvant treatment of adults with renal cell carcinoma at increased risk of recurrence following nephrectomy, or following nephrectomy and resection of metastatic lesions (for selection criteria, please see section 5.1). Microsatellite instability high (MSI-H) or mismatch repair deficient (dMMR) cancers Colorectal cancer (CRC)Keytruda&nbsp;as monotherapy is indicated for theadults with MSI-H or dMMR colorectal cancer in the following settings:  first line treatment of metastatic microsatellite instability high (MSI H) or mismatch repair deficient (dMMR) colorectal cancer in adults; treatment of unresectable or metastatic colorectal cancer after previous fluoropyrimidine based combination therapy.&nbsp;  Non-colorectal cancersKeytruda&nbsp;as monotherapy is indicated for the treatment of the following MSI H or dMMR tumours in adults with:  advanced or recurrent endometrial carcinoma, who have disease progression on or following prior treatment with a platinum containing therapy in any setting and who are not candidates for curative surgery or radiation; unresectable or metastatic gastric, small intestine, or biliary cancer, who have disease progression on or following at least one prior therapy.  Oesophageal carcinoma Keytruda, in combination with platinum and fluoropyrimidine based chemotherapy, is indicated for the first-line treatment of locally advanced unresectable or metastatic carcinoma of the oesophagus in adults whose tumours express PD L1 with a CPS&nbsp;≥ 10. Triple negative breast cancer (TNBC) Keytruda, in combination with chemotherapy as neoadjuvant treatment, and then continued as monotherapy as adjuvant treatment after surgery, is indicated for the treatment of adults with locally advanced, or early stage triple negative breast cancer at high risk of recurrence. Keytruda, in combination with chemotherapy, is indicated for the treatment of locally recurrent unresectable or metastatic triple negative breast cancer in adults whose tumours express PD L1 with a CPS&nbsp;≥ 10 and who have not received prior chemotherapy for metastatic disease. Endometrial carcinoma (EC) Keytruda, in combination with lenvatinib, is indicated for the treatment of advanced or recurrent endometrial carcinoma in adults who have disease progression on or following prior treatment with a platinum containing therapy in any setting and who are not candidates for curative surgery or radiation. Cervical cancer Keytruda, in combination with chemotherapy with or without bevacizumab, is indicated for the treatment of persistent, recurrent, or metastatic cervical cancer in adults whose tumours express PD L1 with a CPS&nbsp;≥ 1. Gastric or gastro-oesophageal junction (GEJ) adenocarcinoma Keytruda, in combination with trastuzumab, fluoropyrimidine and platinum-containing chemotherapy, is indicated for the first-line treatment of locally advanced unresectable or metastatic HER2-positive gastric or gastro-oesophageal junction adenocarcinoma in adults whose tumours express PD-L1 with a CPS ≥ 1. Keytruda, in combination with fluoropyrimidine and platinum-containing chemotherapy, is indicated for the first-line treatment of locally advanced unresectable or metastatic HER2-negative gastric or gastro-oesophageal junction adenocarcinoma in adults whose tumours express PD L1 with a CPS ≥ 1 (see section 5.1). Biliary tract carcinoma (BTC) Keytruda, in combination with gemcitabine and cisplatin, is indicated for the first-line treatment of locally advanced unresectable or metastatic biliary tract carcinoma in adults.";https://www.ema.europa.eu/en/medicines/human/EPAR/keytruda
Porcilis ColiClos;vaccine to provide passive immunity to the progeny against Escherichia coli and Clostridium perfringens in pigs;Clostridium perfringens type C / Escherichia coli F4ab / E. coli F4ac / E. coli F5 / E. coli F6 / E. coli LT;;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/porcilis-coliclos
ArthriCox;firocoxib;firocoxib;;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/arthricox
ArthriCox;firocoxib;firocoxib;;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/arthricox
Cirbloc M Hyo;"mycoplasma hyopneumoniae, strain 2940, inactivated;porcine circovirus 2, ORF2 capsid protein";"mycoplasma hyopneumoniae, strain 2940, inactivated;porcine circovirus 2, ORF2 capsid protein";;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/cirbloc-m-hyo
Cirbloc M Hyo;"mycoplasma hyopneumoniae, strain 2940, inactivated;porcine circovirus 2, ORF2 capsid protein";"mycoplasma hyopneumoniae, strain 2940, inactivated;porcine circovirus 2, ORF2 capsid protein";;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/cirbloc-m-hyo
Yuflyma;adalimumab;adalimumab;"Rheumatoid arthritis Yuflyma in combination with methotrexate, is indicated for: - the treatment of moderate to severe, active rheumatoid arthritis in adult patients when the response to disease-modifying anti-rheumatic drugs including methotrexate has been inadequate. - the treatment of severe, active and progressive rheumatoid arthritis in adults not previously treated with methotrexate. Yuflyma can be given as monotherapy in case of intolerance to methotrexate or when continued treatment with methotrexate is inappropriate. Adalimumab has been shown to reduce the rate of progression of joint damage as measured by X-ray and to improve physical function, when given in combination with methotrexate. Juvenile idiopathic arthritis Polyarticular juvenile idiopathic arthritis Yuflyma in combination with methotrexate is indicated for the treatment of active polyarticular juvenile idiopathic arthritis, in patients from the age of 2 years who have had an inadequate response to one or more disease-modifying anti-rheumatic drugs (DMARDs). Yuflyma can be given as monotherapy in case of intolerance to methotrexate or when continued treatment with methotrexate is inappropriate (for the efficacy in monotherapy see section 5.1). Adalimumab has not been studied in patients aged less than 2 years. Enthesitis-related arthritis Yuflyma is indicated for the treatment of active enthesitis-related arthritis in patients, 6 years of age and older, who have had an inadequate response to, or who are intolerant of, conventional therapy (see section 5.1). Axial spondyloarthritis Ankylosing spondylitis (AS) Yuflyma is indicated for the treatment of adults with severe active ankylosing spondylitis who have had an inadequate response to conventional therapy. Axial spondyloarthritis without radiographic evidence of AS Yuflyma is indicated for the treatment of adults with severe axial spondyloarthritis without radiographic evidence of AS but with objective signs of inflammation by elevated CRP and/or MRI, who have had an inadequate response to, or are intolerant to non-steroidal anti-inflammatory drugs (NSAIDs). Psoriatic arthritis Yuflyma is indicated for the treatment of active and progressive psoriatic arthritis in adults when the response to previous disease-modifying anti-rheumatic drug therapy has been inadequate. Adalimumab has been shown to reduce the rate of progression of peripheral joint damage as measured by X-ray in patients with polyarticular symmetrical subtypes of the disease (see section 5.1) and to improve physical function. Psoriasis Yuflyma is indicated for the treatment of moderate to severe chronic plaque psoriasis in adult patients who are candidates for systemic therapy. Paediatric plaque psoriasis Yuflyma is indicated for the treatment of severe chronic plaque psoriasis in children and adolescents from 4 years of age who have had an inadequate response to or are inappropriate candidates for topical therapy and phototherapies. Hidradenitis suppurativa (HS) Yuflyma is indicated for the treatment of active moderate to severe hidradenitis suppurativa (acne inversa) in adults and adolescents from 12 years of age with an inadequate response to conventional systemic HS therapy (see sections 5.1 and 5.2). Crohn’s disease Yuflyma is indicated for treatment of moderately to severely active Crohn’s disease, in adult patients who have not responded despite a full and adequate course of therapy with a corticosteroid and/or an immunosuppressant; or who are intolerant to or have medical contraindications for such therapies. Paediatric Crohn's disease Yuflyma is indicated for the treatment of moderately to severely active Crohn's disease in paediatric patients (from 6 years of age) who have had an inadequate response to conventional therapy including primary nutrition therapy and a corticosteroid and/or an immunomodulator, or who are intolerant to or have contraindications for such therapies. Ulcerative colitis Yuflyma is indicated for treatment of moderately to severely active ulcerative colitis in adult patients who have had an inadequate response to conventional therapy including corticosteroids and 6-mercaptopurine (6-MP) or azathioprine (AZA), or who are intolerant to or have medical contraindications for such therapies. Paediatric ulcerative colitis Yuflyma is indicated for the treatment of moderately to severely active ulcerative colitis in paediatric patients (from 6 years of age) who have had an inadequate response to conventional therapy including corticosteroids and/or 6-mercaptopurine (6-MP) or azathioprine (AZA), or who are intolerant to or have medical contraindications for such therapies. Uveitis Yuflyma is indicated for the treatment of non-infectious intermediate, posterior and panuveitis in adult patients who have had an inadequate response to corticosteroids, in patients in need of corticosteroid- sparing, or in whom corticosteroid treatment is inappropriate. Paediatric uveitis Yuflyma is indicated for the treatment of paediatric chronic non-infectious anterior uveitis in patients from 2 years of age who have had an inadequate response to or are intolerant to conventional therapy, or in whom conventional therapy is inappropriate.";https://www.ema.europa.eu/en/medicines/human/EPAR/yuflyma
Nobivac DP Plus;Canine distemper vaccine (live, attenuated) and canine parvovirus vaccine (live, recombinant);"Live attenuated canine distemper virus strain Onderstepoort: 105.1 – 106.5 TCID50;Live recombinant canine parvovirus strain 630a:  105.1 – 106.7 TCID50";;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/nobivac-dp-plus
Hiprabovis IBR Marker Live;live gene-deleted vaccine for intramuscular use for active immunisation of cattle against infectious bovine rhinotracheitis;live gE- tk- double-gene-deleted bovine herpes virus type 1, strain CEDDEL: 106.3–107.3 CCID50;;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/hiprabovis-ibr-marker-live
Advagraf;tacrolimus;tacrolimus;Prophylaxis of transplant rejection in adult kidney or liver allograft recipients. Treatment of allograft rejection resistant to treatment with other immunosuppressive medicinal products in adult patients.;https://www.ema.europa.eu/en/medicines/human/EPAR/advagraf
Nucala;mepolizumab;Mepolizumab;Severe eosinophilic asthmaNucala is indicated as an add-on treatment for severe refractory eosinophilic asthma in adults, adolescents and children aged 6 years and older . Chronic rhinosinusitis with nasal polyps (CRSwNP)Nucala is indicated as an add-on therapy with intranasal corticosteroids for the treatment of adult patients with severe CRSwNP for whom therapy with systemic corticosteroids and/or surgery do not provide adequate control. Eosinophilic granulomatosis with polyangiitis (EGPA)Nucala is indicated as an add-on treatment for patients aged 6 years and older with relapsing-remitting or refractory eosinophilic granulomatosis with polyangiitis (EGPA). Hypereosinophilic syndrome (HES)Nucala is indicated as an add-on treatment for adult patients with inadequately controlled hypereosinophilic syndrome without an identifiable non-haematologic secondary cause.;https://www.ema.europa.eu/en/medicines/human/EPAR/nucala
Modigraf;tacrolimus;tacrolimus;Prophylaxis of transplant rejection in adult and paediatric, kidney, liver or heart allograft recipients. Treatment of allograft rejection resistant to treatment with other immunosuppressive medicinal products in adult and paediatric patients.;https://www.ema.europa.eu/en/medicines/human/EPAR/modigraf
Vidaza;azacitidine;azacitidine;"Vidaza is indicated for the treatment of adult patients who are not eligible for haematopoietic stem cell transplantation (HSCT) with:&nbsp;  intermediate 2 and high-risk myelodysplastic syndromes (MDS) according to the International Prognostic Scoring System (IPSS), chronic myelomonocytic leukaemia (CMML) with 10 29 % marrow blasts without myeloproliferative disorder, acute myeloid leukaemia (AML) with 20 30 % blasts and multi-lineage dysplasia, according to World Health Organisation (WHO) classification.  Vidaza is indicated for the treatment of adult patients aged 65 years or older who are not eligible for HSCT with AML with &gt;30% marrow blasts according to the WHO classification.";https://www.ema.europa.eu/en/medicines/human/EPAR/vidaza
Riarify (previously CHF 5993 Chiesi Farmaceutici S.p.A.);"beclometasone;formoterol";"formoterol fumarate dihydrate;glycopyrronium;Beclometasone dipropionate";Maintenance treatment in adult patients with moderate to severe chronic obstructive pulmonary disease (COPD) who are not adequately treated by a combination of an inhaled corticosteroid and a long-acting beta2-agonist (for effects on symptoms control and prevention of exacerbations see section 5.1).;https://www.ema.europa.eu/en/medicines/human/EPAR/riarify
Cejemly;sugemalimab;Sugemalimab;Cejemly in combination with platinum-based chemotherapy is indicated for the first line treatment of adults with metastatic non-small cell lung cancer (NSCLC) with no sensitising EGFR mutations, or ALK, ROS1 or RET genomic tumour aberrations.;https://www.ema.europa.eu/en/medicines/human/EPAR/cejemly
Qdenga;dengue tetravalent vaccine (live, attenuated);"Dengue virus, serotype 2, expressing Dengue virus, serotype 1, surface proteins, live, attenuated;Dengue virus, serotype 2, expressing Dengue virus, serotype 3, surface proteins, live, attenuated;Dengue virus, serotype 2, expressing Dengue virus, serotype 4, surface proteins, live, attenuated;Dengue virus, serotype 2, live, attenuated";Qdenga is indicated for the prevention of dengue disease in individuals from 4 years of age. The use of Qdenga should be in accordance with official recommendations.;https://www.ema.europa.eu/en/medicines/human/EPAR/qdenga
Aflunov;zoonotic influenza vaccine (H5N1) (surface antigen, inactivated, adjuvanted);influenza virus surface antigens (haemagglutinin and neuraminidase) of strain: A/turkey/Turkey/1/05 (H5N1)-like strain (NIBRG-23);"Active immunisation against H5N1 subtype of Influenza A virus in individuals 6 months of age and above.&nbsp;Aflunov should be used in accordance with official recommendations.";https://www.ema.europa.eu/en/medicines/human/EPAR/aflunov
Trydonis;"beclometasone;formoterol;glycopyrronium bromide";"Beclometasone dipropionate;formoterol fumarate dihydrate;glycopyrronium";Maintenance treatment in adult patients with moderate to severe chronic obstructive pulmonary disease (COPD) who are not adequately treated by a combination of an inhaled corticosteroid and a long-acting beta2-agonist (for effects on symptoms control and prevention of exacerbations see section 5.1).;https://www.ema.europa.eu/en/medicines/human/EPAR/trydonis
Pradaxa;dabigatran etexilate;Dabigatran etexilate mesilate;"Pradaxa 75 mg  Primary prevention of venous thromboembolic events in adult patients who have undergone elective total hip replacement surgery or total knee replacement surgery.  Pradaxa 110 mg  Primary prevention of venous thromboembolic events in adult patients who have undergone elective total hip replacement surgery or total knee replacement surgery. Prevention of stroke and systemic embolism in adult patients with non-valvular atrial fibrillation (NVAF), with one or more risk factors, such as prior stroke or transient ischemic attack (TIA); age ≥ 75 years; heart failure (NYHA Class ≥ II); diabetes mellitus; hypertension. Treatment of deep vein thrombosis (DVT) and pulmonary embolism (PE), and prevention of recurrent DVT and PE in adults.  Pradaxa 150 mg  Prevention of stroke and systemic embolism in adult patients with non-valvular atrial fibrillation (NVAF), with one or more risk factors, such as prior stroke or transient ischemic attack (TIA); age ≥ 75 years; heart failure (NYHA Class ≥ II); diabetes mellitus; hypertension. Treatment of deep vein thrombosis (DVT) and pulmonary embolism (PE), and prevention of recurrent DVT and PE in adults.";https://www.ema.europa.eu/en/medicines/human/EPAR/pradaxa
Libtayo;cemiplimab;Cemiplimab;Cutaneous Squamous Cell Carcinoma  Libtayo as monotherapy is indicated for the treatment of adult patients with metastatic or locally advanced cutaneous squamous cell carcinoma (mCSCC or laCSCC) who are not candidates for curative surgery or curative radiation.  Basal Cell Carcinoma  Libtayo as monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic basal cell carcinoma (laBCC or mBCC) who have progressed on or are intolerant to a hedgehog pathway inhibitor (HHI).  Non-Small Cell Lung Cancer  Libtayo as monotherapy is indicated for the first-line treatment of adult patients with non-small cell lung cancer (NSCLC) expressing PD-L1 (in ? 50% tumour cells), with no EGFR, ALK or ROS1 aberrations, who have:  locally advanced NSCLC who are not candidates for definitive chemoradiation, or metastatic NSCLC.   Libtayo in combination with platinum?based chemotherapy is indicated for the first?line treatment of adult patients with NSCLC expressing PD-L1 (in ? 1% of tumour cells), with no EGFR, ALK or ROS1 aberrations, who have:  locally advanced NSCLC who are not candidates for definitive chemoradiation, or metastatic NSCLC.    Cervical Cancer  Libtayo as monotherapy is indicated for the treatment of adult patients with recurrent or metastatic cervical cancer and disease progression on or after platinum-based chemotherapy.;https://www.ema.europa.eu/en/medicines/human/EPAR/libtayo
Tibsovo;ivosidenib;Ivosidenib;Tibsovo in combination with azacitidine is indicated for the treatment of adult patients with newly diagnosed acute myeloid leukaemia (AML) with an isocitrate dehydrogenase-1 (IDH1) R132 mutation who are not eligible to receive standard induction chemotherapy (see section 5.1). Tibsovo monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic cholangiocarcinoma with an IDH1 R132 mutation who were previously treated by at least one prior line of systemic therapy.;https://www.ema.europa.eu/en/medicines/human/EPAR/tibsovo
Leflunomide ratiopharm;leflunomide;leflunomide;"Leflunomide is indicated for the treatment of adult patients with:  active rheumatoid arthritis as a 'disease-modifying antirheumatic drug' (DMARD); active psoriatic arthritis.  Recent or concurrent treatment with hepatotoxic or haematotoxic DMARDs (e.g. methotrexate) may result in an increased risk of serious adverse reactions; therefore, the initiation of leflunomide treatment has to be carefully considered regarding these benefit / risk aspects. Moreover, switching from leflunomide to another DMARD without following the washout procedure may also increase the risk of serious adverse reactions even for a long time after the switching.";https://www.ema.europa.eu/en/medicines/human/EPAR/leflunomide-ratiopharm
Pregabalin Accord;pregabalin;pregabalin;Epilepsy  Pregabalin Accord is indicated as adjunctive therapy in adults with partial seizures with or without secondary generalisation.  Generalised Anxiety Disorder  Pregabalin Accord is indicated for the treatment of Generalised Anxiety Disorder (GAD) in adults.;https://www.ema.europa.eu/en/medicines/human/EPAR/pregabalin-accord
Sugammadex Adroiq;sugammadex;sugammadex sodium;Reversal of neuromuscular blockade induced by rocuronium or vecuronium in adults.For the paediatric population: sugammadex is only recommended for routine reversal of rocuronium induced blockade in children and adolescents aged 2 to 17 years.;https://www.ema.europa.eu/en/medicines/human/EPAR/sugammadex-adroiq
Ibuprofen Gen.Orph;ibuprofen;Ibuprofen;Treatment of a haemodynamically significant patent ductus arteriosus in preterm newborn infants less than 34 weeks of gestational age;https://www.ema.europa.eu/en/medicines/human/EPAR/ibuprofen-genorph
Rinvoq;upadacitinib;upadacitinib;"Rheumatoid arthritis RINVOQ is indicated for the treatment of moderate to severe active rheumatoid arthritis in adult patients who have responded inadequately to, or who are intolerant to one or more disease-modifying anti-rheumatic drugs (DMARDs). RINVOQ may be used as monotherapy or in combination with methotrexate. Psoriatic arthritis RINVOQ is indicated for the treatment of active psoriatic arthritis in adult patients who have responded inadequately to, or who are intolerant to one or more DMARDs. RINVOQ may be used as monotherapy or in combination with methotrexate. Axial spondyloarthritis Non-radiographic axial spondyloarthritis (nr-axSpA) RINVOQ is indicated for the treatment of active non-radiographic axial spondyloarthritis in adult patients with objective signs of inflammation as indicated by elevated C-reactive protein (CRP) and/or magnetic resonance imaging (MRI), who have responded inadequately to nonsteroidal anti-inflammatory drugs (NSAIDs). Ankylosing spondylitis (AS, radiographic axial spondyloarthritis) RINVOQ is indicated for the treatment of active ankylosing spondylitis in adult patients who have responded inadequately to conventional therapy. Atopic dermatitis RINVOQ is indicated for the treatment of moderate to severe atopic dermatitis in adults and adolescents 12 years and older who are candidates for systemic therapy. Ulcerative colitis RINVOQ is indicated for the treatment of adult patients with moderately to severely active ulcerative colitis who have had an inadequate response, lost response or were intolerant to either conventional therapy or a biologic agent.&nbsp; Crohn’s disease RINVOQ is indicated for the treatment of adult patients with moderately to severely active Crohn’s disease who have had an inadequate response, lost response or were intolerant to either conventional therapy or a biologic agent.";https://www.ema.europa.eu/en/medicines/human/EPAR/rinvoq
